"","emd","구분","대여소번호","대여소명","대여소.주소","거치대수","lat","lon","population","school","subway","culture","travel","han_river"
"834","신도림동","구로구","1974","신도림2차e편한세상아파트 203동 앞","서울특별시 구로구 신도림로 16신도림2차e편한세상아파트 203동 앞",10,37.50518,126.882538,"36798",0,0,12,2,3541.99783314943
"835","신림동","관악구","2175","신림동걷고싶은문화의거리입구","서울특별시 관악구 신림로 369신림동걷고싶은문화의거리입구",10,37.487301,126.928703,"19904",0,0,8,4,3277.78378440213
"836","신림동","관악구","2102","봉림교 교통섬","서울특별시 관악구 관천로 52관악구 신림동 1433-150",20,37.48423,126.926392,"19904",0,0,7,3,3645.68580904551
"837","신림동","관악구","2180","신림동주민센터","서울특별시 관악구 신림동길 8신림동주민센터",10,37.487511,126.927788,"19904",0,0,7,4,3266.67526195542
"838","신림동","관악구","2135","신림역 5번출구","서울특별시 관악구 남부순환로 지하 1614관악구 신림동 1467-10",9,37.484409,126.928909,"19904",0,1,7,2,3594.7859757341
"839","신림동","관악구","2136","신림역 8번출구","서울특별시 관악구 신림로 340신림역 7번출구",10,37.484577,126.929916,"19904",0,1,7,2,3566.67628575527
"840","신림동","관악구","2174","삼성디지털프라자관악점","서울특별시 관악구 신림로 386삼성디지털프라자관악점",10,37.488564,126.928482,"19904",1,0,7,4,3141.3833059816
"841","신림동","관악구","2164","관악우체국","서울특별시 관악구 남부순환로 1641관악우체국",8,37.484768,126.932877,"19904",0,0,6,2,3530.13974540289
"842","신사1동","은평구","934","신사동 성당","서울특별시 은평구 신사동 41-3신사동 성당",15,37.597141,126.909599,"27179",0,0,1,0,4363.36792452822
"843","신사2동","은평구","914","새절역 2번출구","서울특별시 은평구 응암동 610-3새절역 2번출구",20,37.590797,126.913651,"21050",1,1,3,2,4035.54359714395
"844","신수동","마포구","120","신수동 사거리","서울특별시 마포구 토정로 211371-11",5,37.545242,126.934113,"19971",1,0,14,5,359.119988227765
"845","신수동","마포구","185","마포 신수공원 앞","서울특별시 마포구 현석동 106-32마포 신수공원 앞",15,37.542545,126.934296,"19971",0,0,6,3,71.1357244189982
"846","신수동","마포구","121","마포소방서 앞","서울특별시 마포구 창전로 76100-18",15,37.549767,126.933174,"19971",0,0,63,12,838.362451685037
"847","신수동","마포구","122","신성기사식당 앞","서울특별시 마포구 독막로 223-150-2",10,37.547249,126.939293,"19971",1,0,19,5,755.552232960357
"848","신월1동","양천구","714","한국SGI 양천문화회관 앞","서울특별시 양천구 신월동 790한국SGI 양천문화회관 앞",10,37.532547,126.830803,"23117",1,0,4,1,4497.95965264084
"849","신월2동","양천구","737","장수공원","서울특별시 양천구 신월로 894 장수공원",10,37.52256,126.84948,"22408",3,0,2,4,4180.36031735152
"850","신월2동","양천구","725","양강중학교앞 교차로","서울특별시 양천구 남부순환로88길5-16양강중학교앞 교차로",15,37.524334,126.850548,"22408",3,0,2,4,3963.88246321454
"851","신월2동","양천구","706","신정네거리역","서울특별시 양천구 신월동 894신정네거리역",15,37.521881,126.851753,"22408",0,0,2,4,4137.0958276612
"852","신월3동","양천구","741","화곡로 입구 교차로","서울특별시 양천구 신월동 258화곡로 입구 교차로",10,37.53952,126.825401,"16931",4,0,4,1,4061.58446521356
"853","신월3동","양천구","739","신월사거리","서울특별시 양천구 신월동 263신월사거리",15,37.536201,126.827797,"16931",1,0,4,0,4258.31752759554
"854","신월3동","양천구","713","양서중학교 옆","서울특별시 양천구 신월동 790양서중학교 옆",20,37.533047,126.829956,"16931",1,0,4,1,4479.38418957095
"855","신월4동","양천구","759","보아스아파트 앞","서울특별시 양천구 오목로3길 32보아스아파트 앞",10,37.524071,126.8386,"19144",1,0,0,3,4659.90253192288
"856","신월4동","양천구","745","강서초등학교","서울특별시 양천구 오목로 31 부근강서초등학교",10,37.522282,126.839699,"19144",1,0,0,3,4737.62752342354
"857","신월5동","양천구","740","으뜸공원","서울특별시 양천구 가로공원로 133으뜸공원",10,37.536369,126.831711,"15554",0,0,6,1,4079.05386705053
"858","신월5동","양천구","732","신월동 이마트","서울특별시 양천구 화곡로 59신월동 이마트",10,37.539551,126.8283,"15554",2,0,5,2,3916.28919732095
"859","신월7동","양천구","736","오솔길공원","서울특별시 양천구 남부순환로70길11-9오솔길공원",10,37.52219,126.8367,"23023",0,0,0,3,4926.7860543243
"860","신월7동","양천구","720","서울강월초등학교 앞","서울특별시 양천구 신월로 97서울강월초등학교 앞",10,37.516197,126.8349,"23023",1,0,0,3,5525.80539148328
"861","신월7동","양천구","712","강월초교입구 사거리","서울특별시 양천구 신월동 905강월초교입구 사거리",14,37.516998,126.838318,"23023",1,0,0,1,5263.99491415775
"862","신정1동","양천구","734","신트리공원 입구","서울특별시 양천구 신정동 310-8 신트리공원 입구",10,37.51395,126.856056,"17907",3,0,5,7,4698.91538581824
"863","신정1동","양천구","722","LG전자베스트샵 신정점","서울특별시 양천구 신월로 328LG전자베스트샵 신정점 ",10,37.521435,126.857384,"17907",0,0,6,3,3950.9207235272
"864","신정3동","양천구","710","서부화물트럭터미널 사거리","서울특별시 양천구 신정동 759-2서부화물트럭터미널 사거리",12,37.510658,126.842537,"53880",3,0,0,3,5627.22841054762
"865","신정3동","양천구","750","연의근린공원 건너편","서울특별시 양천구 신정로7길 92연의근린공원 건너편",10,37.512157,126.835625,"53880",2,0,0,3,5834.72180523295
"866","신정3동","양천구","709","신정3동 현장민원실 앞","서울특별시 양천구 신정동 760-2신정3동 현장민원실 앞",20,37.511585,126.84156,"53880",3,0,0,3,5585.5912562775
"867","신정3동","양천구","760","잣절보도육교 아래","서울특별시 양천구 남부순환로 699잣절보도육교 아래",10,37.506821,126.844299,"53880",3,0,1,3,5921.29859633767
"868","신정3동","양천구","733","신정이펜하우스314동","서울특별시 양천구 신정이펜1로50 신정이펜하우스314동",10,37.514099,126.831001,"53880",1,0,0,3,5928.45870493349
"869","신정3동","양천구","724","계남공원 입구 주출입구 좌측","서울특별시 양천구 신정동 621-14계남공원 입구 주출입구 좌측",15,37.510681,126.857399,"53880",2,0,5,8,4900.56136998314
"870","신정3동","양천구","743","현대6차아파트 101동 옆","서울특별시 양천구 신정동 735-5현대6차아파트 101동 옆",10,37.5089,126.842682,"53880",3,0,1,2,5788.66129297597
"871","신정3동","양천구","711","신일해피트리아파트 앞","서울특별시 양천구 신월동 1063-4신일해피트리아파트 앞",20,37.517059,126.848488,"53880",0,0,1,5,4745.84689464247
"872","신정3동","양천구","707","신정3동주민센터","서울특별시 양천구 중앙로 209신정3동주민센터",10,37.515156,126.854897,"53880",3,0,5,5,4670.9196522486
"873","신정3동","양천구","757","신정이펜하우스 1단지아파트 입구 사거리","서울특별시 양천구 신정이펜1로 99신정이펜하우스 1단지아파트 입구 사거리",10,37.514278,126.828743,"53880",1,0,1,4,6048.66235087192
"874","신정4동","양천구","704","남부법원검찰청 교차로","서울특별시 양천구 신정동 1095남부법원검찰청 교차로",15,37.523254,126.864906,"35205",3,0,14,2,3408.55721373885
"875","신정6동","양천구","716","신정6동 주민센터 인근","서울특별시 양천구 목동서로 355햇빛문고 앞",15,37.517281,126.864334,"24840",0,0,6,1,3944.57001468468
"876","신정6동","양천구","708","서울출입국관리사무소 앞","서울특별시 양천구 신정동 319-3서울출입국관리사무소 앞",16,37.51897,126.869965,"24840",1,0,12,1,3501.96801409226
"877","신정7동","양천구","729","서부식자재마트 건너편","서울특별시 양천구 신정동 236 서부식자재마트 건너편",10,37.51038,126.866798,"30276",1,0,6,8,4418.95200834529
"878","신정7동","양천구","763","목동11단지 아파트","서울특별시 양천구 목동동로 10목동11단지 아파트",10,37.511318,126.85862,"30276",1,0,5,8,4778.30899423502
"879","신정7동","양천구","758","한사랑교회 앞","서울특별시 양천구 목동동로 33한사랑교회 앞",10,37.514721,126.8592,"30276",1,0,6,6,4451.53422577291
"880","신촌동","서대문구","135","명물길 원형무대 앞","서울특별시 서대문구 명물길 3331-69",10,37.559101,126.939178,"25688",0,0,45,12,1958.74923405548
"881","신촌동","서대문구","115","사루비아 빌딩 앞","서울특별시 서대문구 연희로 6516",15,37.558933,126.927116,"25688",0,2,77,13,1681.90631333189
"882","신촌동","서대문구","132","창천문화공원","서울특별시 서대문구 연세로5나길 1953-47",15,37.556789,126.935883,"25688",1,0,61,14,1628.3118510532
"883","신촌동","서대문구","139","연세대 정문 건너편","서울특별시 서대문구 연세로 4276-25",13,37.559795,126.934479,"25688",1,0,64,11,1886.16607882531
"884","신촌동","서대문구","137","NH농협 신촌지점 앞","서울특별시 서대문구 연세로2다길 5860-11",10,37.556812,126.943184,"25688",0,0,42,11,1841.63325947803
"885","신촌동","서대문구","134","연세로 명물길","서울특별시 서대문구 명물길 3331-69",8,37.557892,126.93808,"25688",0,0,57,12,1805.83021215576
"886","신촌동","서대문구","162","봉원고가차도 밑","서울특별시 서대문구 대신동 143-1봉원고가차도 밑",15,37.565269,126.946243,"25688",2,0,21,5,2809.9863094047
"887","신촌동","서대문구","159","이대역 4번 출구","서울특별시 서대문구 대현동 60-11이대역 4번 출구",7,37.556953,126.946342,"25688",1,1,35,12,1993.78841834049
"888","신촌동","서대문구","140","이화여대 후문","서울특별시 서대문구 연세로 50-189-4",20,37.560009,126.940735,"25688",1,1,40,11,2092.80239468298
"889","신촌동","서대문구","138","신촌동 제1공영주차장 앞","서울특별시 서대문구 증가로 264342-14",10,37.559177,126.934525,"25688",1,0,66,12,1822.87965449918
"890","신촌동","서대문구","128","신촌역(2호선) 1번출구 옆","서울특별시 서대문구 연세로 3-530-16",20,37.555496,126.93634,"25688",1,1,52,14,1515.99524928328
"891","쌍문1동","도봉구","1715","서울특별시교육청도봉도서관","서울특별시 도봉구 삼양로556서울특별시교육청도봉도서관",20,37.653179,127.012787,"22598",1,0,3,4,12168.089061681
"892","쌍문2동","도봉구","1726","삼익세라믹아파트교차로","서울특별시 도봉구 해등로 189삼익세라믹아파트",8,37.658588,127.03521,"20541",2,0,7,4,12730.2653990272
"893","쌍문3동","도봉구","1713","쌍문동 청소년 랜드","서울특별시  도봉구 노해로140쌍문동 청소년 랜드",10,37.647266,127.025879,"17653",2,0,5,4,11448.016228279
"894","쌍문3동","도봉구","1709","쌍문역4번출구 주변","서울특별시 도봉구 도봉로 지하 486-1쌍문동 83-5",15,37.650127,127.035347,"17653",2,1,9,2,11790.9362637328
"895","쌍문4동","도봉구","1734","쌍문현대1차아파트 108동 앞","서울특별시 도봉구 해등로 218쌍문현대1차아파트 108동 앞",10,37.65815,127.032669,"20188",1,0,7,5,12670.3112306788
"896","아현동","마포구","143","공덕역 2번출구","서울특별시 마포구 공덕동 257-88공덕역 2번출구",9,37.544579,126.950218,"26928",0,2,10,9,1026.3474610846
"897","아현동","마포구","142","아현역 4번출구 앞","서울특별시 마포구 아현동 329-15아현역 4번출구 앞",11,37.557201,126.955666,"26928",3,1,11,6,2412.78308309981
"898","아현동","마포구","426","서울신용보증재단","서울특별시 마포구 마포대로 163서울신용보증재단",10,37.549061,126.954178,"26928",0,0,12,7,1620.99576491507
"899","안암동","성북구","1308","안암로터리 버스정류장 앞","서울특별시 성북구 안암로 69안암로터리 버스정류장",18,37.582592,127.028976,"20474",1,0,7,2,4253.03419302669
"900","안암동","성북구","1338","용문2교 옆","서울특별시 성북구 인촌로7길 24용문2교 옆",15,37.586899,127.020752,"20474",1,1,18,2,4756.84648786875
"901","안암동","성북구","1363","보문4교 인근","서울특별시 성북구 보문로22길 28보문4교 인근",15,37.583752,127.02195,"20474",0,0,9,3,4397.49610176423
"902","안암동","성북구","1354","고려대학교 2번출구","서울특별시 성북구 종암로 지하 1고려대학교 2번출구",10,37.590714,127.036194,"20474",1,1,7,4,5220.0379031028
"903","안암동","성북구","1351","안암2교 옆","서울특별시 성북구 안암로 17SK제삼주유소 앞",8,37.579449,127.024193,"20474",3,0,8,2,3904.72467443558
"904","안암동","성북구","1372","KEB은행 고대점","서울특별시 성북구 인촌로 113KEB은행 고대점",15,37.586559,127.03196,"20474",0,0,8,2,4712.78446099157
"905","안암동","성북구","1355","보문2교","서울특별시 성북구 보문로30길 29보문2교",20,37.588699,127.018913,"20474",0,0,20,2,4975.85838626948
"906","암사1동","강동구","1004","삼성광나루아파트 버스정류장","서울특별시 강동구 상암로3길 77암사동 534",10,37.553349,127.12886,"36160",0,0,1,2,497.984076429974
"907","암사2동","강동구","1008","암사역 3번출구(국민은행앞)","서울특별시 강동구 올림픽로 지하 776암사동 555",10,37.549549,127.127151,"15378",1,1,1,5,466.690378879835
"908","암사2동","강동구","1007","암사동 선사유적지","서울특별시 강동구 올림픽로 875암사동 139-2",16,37.559063,127.130646,"15378",0,0,2,0,362.220756205684
"909","암사3동","강동구","1033","고덕동 아남아파트","서울특별시 고덕동 673고덕동 아남아파트",10,37.557991,127.144707,"18248",1,0,1,4,1398.79737711876
"910","암사3동","강동구","1006","롯데캐슬 115동앞","서울특별시 강동구 양재대로 1665명일동 304",15,37.55492,127.142799,"18248",1,0,0,2,1501.0938356076
"911","암사3동","강동구","1032","선사고등학교","서울특별시 암사동 445선사고등학교",20,37.556728,127.136208,"18248",3,0,2,0,917.56529544001
"912","암사3동","강동구","1051","양지시장 (용성약국앞) 입구","서울특별시 강동구 고덕로 109양지시장 (용성약국앞) 입구",15,37.554829,127.137321,"18248",2,0,1,0,1111.13997794684
"913","암사3동","강동구","1031","암사동 CBIS","서울특별시 암사동 440-13암사동 CBIS",15,37.555851,127.129898,"18248",2,0,2,1,534.551048307204
"914","압구정동","강남구","2307","압구정 한양 3차 아파트","서울특별시 강남구 압구정로 321압구정 한양 3차 아파트",10,37.528614,127.038559,"25650",0,0,61,6,690.554129667975
"915","압구정동","강남구","2306","압구정역 2번 출구 옆","서울특별시 강남구 압구정로 지하 172압구정역 2번 출구 옆",30,37.527122,127.028717,"25650",0,1,52,2,674.433328841585
"916","압구정동","강남구","2365","K+ 타워 앞","서울특별시 강남구 도산대로 333 K+ 타워 앞",15,37.5233,127.038475,"25650",0,0,74,6,1227.98369477532
"917","압구정동","강남구","2364","도산대로 렉서스 앞","서울특별시 강남구 도산대로 229 도산대로 렉서스 앞",10,37.52124,127.031898,"25650",1,0,84,2,1263.92959474285
"918","압구정동","강남구","2308","압구정파출소 앞","서울특별시 강남구 압구정로 311압구정파출소 앞",14,37.529301,127.035599,"25650",1,0,52,6,516.384546066758
"919","약수동","중구","372","약수역 3번출구 뒤","서울특별시 중구 다산로 지하122약수역 4번출구 뒤",10,37.554295,127.0112,"18023",0,2,15,4,1673.909761484
"920","양재1동","서초구","2244","교육개발원입구 교차로","서울특별시 서초구 바우뫼로1길 35서초구 양재동 20-40",20,37.477852,127.03891,"44964",0,0,14,5,5103.35960496716
